DATE,Div,Year,Qtr,HPI,Month,Rent_CPI,10Y_Yield
1981-03-31,USA,1981,1,105.08,03,85.26666666666667,12.950655737704919
1981-06-30,USA,1981,2,107.33,06,87.06666666666666,13.74047619047619
1981-09-30,USA,1981,3,108.85,09,88.73333333333333,14.8384375
1981-12-31,USA,1981,4,107.54,12,90.63333333333333,14.116721311475409
1982-03-31,USA,1982,1,106.17,03,92.36666666666667,14.268032786885247
1982-06-30,USA,1982,2,108.61,06,93.76666666666667,13.942063492063493
1982-09-30,USA,1982,3,106.85,09,95.39999999999999,13.1125
1982-12-31,USA,1982,4,111.54,12,96.96666666666665,10.66344262295082
1983-03-31,USA,1983,1,114.33,03,98.43333333333334,10.555873015873015
1983-06-30,USA,1983,2,115.78,06,99.56666666666666,10.549999999999999
1983-09-30,USA,1983,3,116.8,09,100.63333333333333,11.63640625
1983-12-31,USA,1983,4,117.54,12,101.7,11.689166666666667
1984-03-31,USA,1984,1,119.28,03,102.96666666666665,11.954516129032257
1984-06-30,USA,1984,2,120.9,06,104.66666666666667,13.213968253968254
1984-09-30,USA,1984,3,122.02,09,106.06666666666666,12.873174603174602
1984-12-31,USA,1984,4,123.02,12,107.5,11.760655737704917
1985-03-31,USA,1985,1,124.72,03,109.13333333333333,11.586500000000001
1985-06-30,USA,1985,2,126.62,06,110.93333333333334,10.823492063492063
1985-09-30,USA,1985,3,128.59,09,112.53333333333335,10.335555555555555
1985-12-31,USA,1985,4,130.04,12,114.46666666666665,9.766129032258064
1986-03-31,USA,1986,1,132.55,03,115.8,8.567
1986-06-30,USA,1986,2,135.34,06,117.86666666666667,7.59796875
1986-09-30,USA,1986,3,137.41,09,119.10000000000001,7.30546875
1986-12-31,USA,1986,4,139.53,12,120.36666666666667,7.264032258064516
1987-03-31,USA,1987,1,142.29,03,121.60000000000001,7.195409836065574
1987-06-30,USA,1987,2,144.5,06,122.39999999999999,8.342698412698413
1987-09-30,USA,1987,3,146.18,09,123.66666666666667,8.8696875
1987-12-31,USA,1987,4,147.12,12,124.89999999999999,9.129032258064516
1988-03-31,USA,1988,1,149.4,03,126.23333333333333,8.410967741935485
1988-06-30,USA,1988,2,152.39,06,127.23333333333333,8.912857142857142
1988-09-30,USA,1988,3,153.98,09,128.4,9.10359375
1988-12-31,USA,1988,4,155.38,12,129.5,8.95704918032787
1989-03-31,USA,1989,1,157.24,03,130.83333333333334,9.211639344262295
1989-06-30,USA,1989,2,159.37,06,132.06666666666666,8.75796875
1989-09-30,USA,1989,3,162.76,09,133.4,8.107460317460317
1989-12-31,USA,1989,4,164.1,12,134.9,7.9070967741935485
1990-03-31,USA,1990,1,165.03,03,136.20000000000002,8.423870967741935
1990-06-30,USA,1990,2,165.73,06,137.66666666666666,8.674126984126984
1990-09-30,USA,1990,3,166.75,09,139.23333333333332,8.701269841269841
1990-12-31,USA,1990,4,166.09,12,140.56666666666666,8.405967741935482
1991-03-31,USA,1991,1,167.48,03,141.63333333333333,8.022833333333333
1991-06-30,USA,1991,2,168.59,06,142.9333333333333,8.12546875
1991-09-30,USA,1991,3,168.92,09,143.9333333333333,7.95
